id,name,NPGyr,Gyr,minsyr,start,end,DOB,rate,label,streak
85,Ruud van Nistelrooy,38,46,4611,2002-11-04,2003-11-04,1976-07-01,0.741704619388419,van Nistelrooy,van Nistelrooy 02-03
154,Stéphane Guivarc'h,38,40,4375,1997-03-17,1998-03-17,1970-09-06,0.7817142857142857,Guivarc'h,Guivarc'h 97-98
18,Pierre-Emerick Aubameyang,38,43,4157,2015-01-30,2016-01-30,1989-06-18,0.8227086841472215,Aubameyang,Aubameyang 15-16
97,David Trezeguet,38,38,4102,2001-04-28,2002-04-28,1977-10-15,0.8337396392003901,Trezeguet,Trezeguet 01-02
111,Neymar,38,39,4071,2014-06-06,2015-06-06,1992-02-05,0.8400884303610906,Neymar,Neymar 14-15
73,Álvaro Negredo,38,41,3709,2013-01-21,2014-01-21,1985-08-20,0.9220814235643031,Negredo,Negredo 13-14
21,Robin van Persie,38,40,3658,2010-12-10,2011-12-10,1983-08-06,0.9349371241115363,van Persie,van Persie 10-11
5,Zlatan Ibrahimović,38,47,3490,2013-08-31,2014-08-31,1981-10-03,0.979942693409742,Zlatan,Zlatan 13-14
24,Thierry Henry,39,44,4634,2003-12-13,2004-12-12,1977-08-17,0.7574449719464825,Henry,Henry 03-04
20,Robert Lewandowski,39,43,4261,2012-11-01,2013-11-01,1988-08-21,0.8237502933583666,Lewandowski,Lewandowski 12-13
11,Ronaldo,39,45,4156,1996-05-24,1997-05-24,1976-09-22,0.8445620789220404,Ronaldo (BRA),Ronaldo (BRA) 96-97
1,Lionel Messi,39,43,4109,2015-09-14,2016-09-13,1987-06-24,0.8542224385495254,Messi,Messi 15-16
30,Edin Džeko,39,39,4031,2008-09-30,2009-09-30,1986-03-17,0.870751674522451,Džeko,Džeko 08-09
1,Lionel Messi,39,42,3987,2008-09-22,2009-09-22,1987-06-24,0.8803611738148984,Messi,Messi 08-09
16,Luca Toni,39,39,3837,2007-09-14,2008-09-13,1977-05-26,0.9147771696637998,Toni,Toni 07-08
4,Hugo Sánchez,39,42,3323,1989-10-28,1990-10-28,1958-07-11,1.0562744507974722,Sánchez,Sánchez 89-90
34,Klaas Jan Huntelaar,41,50,4347,2011-05-06,2012-05-05,1983-08-12,0.8488612836438924,Huntelaar,Huntelaar 11-12
50,Horst Hrubesch,41,42,4333,1980-02-15,1981-02-14,1951-04-17,0.8516039695361182,Hrubesch,Hrubesch 80-81
30,Edin Džeko,41,42,4095,2016-10-01,2017-10-01,1986-03-17,0.9010989010989011,Džeko,Džeko 16-17
82,Raúl,42,42,5070,2001-01-08,2002-01-08,1977-06-27,0.7455621301775147,Raúl,Raúl 01-02
33,Karl-Heinz Rummenigge,42,42,4286,1979-11-06,1980-11-05,1955-09-25,0.8819412039197387,Rummenigge,Rummenigge 79-80
18,Pierre-Emerick Aubameyang,42,46,4179,2016-09-26,2017-09-26,1989-06-18,0.9045226130653267,Aubameyang,Aubameyang 16-17
20,Robert Lewandowski,43,45,4354,2015-02-14,2016-02-14,1988-08-21,0.8888378502526412,Lewandowski,Lewandowski 15-16
2,Cristiano Ronaldo,43,52,4209,2010-01-13,2011-01-13,1985-02-05,0.9194583036350678,Ronaldo,Ronaldo 10-11
2,Cristiano Ronaldo,44,57,4220,2013-12-12,2014-12-12,1985-02-05,0.9383886255924171,Ronaldo,Ronaldo 13-14
17,Mohamed Salah,44,45,4053,2017-04-24,2018-04-24,1992-06-15,0.9770540340488527,Salah,Salah 17-18
11,Ronaldo,45,45,4577,2003-02-01,2004-02-01,1976-09-22,0.8848590779986891,Ronaldo (BRA),Ronaldo (BRA) 03-04
43,Mario Gomez,46,50,4028,2010-09-27,2011-09-27,1985-07-10,1.0278053624627608,Gomez,Gomez 10-11
8,Edinson Cavani,47,53,4407,2016-11-29,2017-11-29,1987-02-14,0.9598366235534377,Cavani,Cavani 16-17
5,Zlatan Ibrahimović,47,55,4355,2015-09-11,2016-09-10,1981-10-03,0.971297359357061,Zlatan,Zlatan 15-16
1,Lionel Messi,49,59,4777,2016-10-01,2017-10-01,1987-06-24,0.923173539878585,Messi,Messi 16-17
31,Harry Kane,49,52,3983,2017-02-13,2018-02-13,1993-07-28,1.1072056239015817,Kane,Kane 17-18
2,Cristiano Ronaldo,49,55,3980,2017-04-03,2018-04-03,1985-02-05,1.1080402010050252,Ronaldo,Ronaldo 17-18
2,Cristiano Ronaldo,51,61,4647,2015-03-06,2016-03-05,1985-02-05,0.987734021949645,Ronaldo,Ronaldo 15-16
2,Cristiano Ronaldo,52,61,4486,2012-11-23,2013-11-23,1985-02-05,1.043245653143112,Ronaldo,Ronaldo 12-13
1,Lionel Messi,54,60,5301,2014-09-12,2015-09-12,1987-06-24,0.9168081494057725,Messi,Messi 14-15
2,Cristiano Ronaldo,54,68,4990,2011-04-30,2012-04-29,1985-02-05,0.9739478957915831,Ronaldo,Ronaldo 11-12
3,Luis Suárez,59,63,4456,2015-09-18,2016-09-17,1987-01-24,1.1916517055655296,Suárez,Suárez 15-16
1,Lionel Messi,63,65,4637,2010-02-20,2011-02-20,1987-06-24,1.2227733448350226,Messi,Messi 10-11
1,Lionel Messi,67,81,5004,2012-01-28,2013-01-27,1987-06-24,1.2050359712230216,Messi,Messi 12-13
